"名前","値","許可された値","変更可能","送信元","適用タイプ","データ型","説明","ApplyMethod","MinimumEngineVersion"
"activate_all_roles_on_login","0","0,1",true,"engine-default","dynamic","boolean","Automatically set all granted roles as active after the user has authenticated successfully.","pending-reboot",
"allow-suspicious-udfs",,"0,1",false,"engine-default","static","boolean","Controls whether user-defined functions that have only an xxx symbol for the main function can be loaded","pending-reboot",
"aurora_binlog_replication_max_yield_seconds",,"0-36000",true,"engine-default","dynamic","integer","Controls the number of seconds that binary log dump thread waits up to for the current binlog file to be filled by transactions. This wait period avoids contention that can arise from replicating each binlog event individually.","pending-reboot",
"aurora_enable_staggered_replica_restart",,"0,1",true,"system","dynamic","boolean","Allow Aurora replicas to follow a staggered restart schedule to increase cluster availability.","pending-reboot",
"aurora_fwd_writer_idle_timeout","60","1-86400",true,"system","dynamic","integer","The number of seconds the server waits for activity on a forwarded Replica connection before closing it.","pending-reboot",
"aurora_fwd_writer_max_connections_pct","10","0-90",true,"system","dynamic","integer","The percentage of max_connections that can be used for connections forwarded from Replicas.","pending-reboot",
"aurora_parallel_query",,"0,1",true,"engine-default","dynamic","boolean","This parameter can be used to enable and disable Aurora Parallel Query.","pending-reboot",
"autocommit",,"0,1",true,"engine-default","dynamic","boolean","Sets the autocommit mode","pending-reboot",
"auto_increment_increment",,"1-65535",true,"engine-default","dynamic","integer","Intended for use with source-to-source replication, and can be used to control the operation of AUTO_INCREMENT columns","pending-reboot",
"auto_increment_offset",,"1-65535",true,"engine-default","dynamic","integer","Determines the starting point for the AUTO_INCREMENT column value","pending-reboot",
"automatic_sp_privileges",,"0,1",true,"engine-default","dynamic","boolean","When this variable has a value of 1 (the default), the server automatically grants the EXECUTE and ALTER ROUTINE privileges to the creator of a stored routine, if the user cannot already execute and alter or drop the routine.","pending-reboot",
"aws_default_comprehend_role",,,true,"engine-default","dynamic","string","Default IAM role ARN used for integration with AWS Comprehend","pending-reboot",
"aws_default_lambda_role",,,true,"engine-default","dynamic","string","aws_default_lambda_role","pending-reboot",
"aws_default_logs_role",,,true,"engine-default","dynamic","string","Arn for the role used to upload data to CloudWatch Logs","pending-reboot",
"aws_default_s3_role",,,true,"engine-default","dynamic","string","aws_default_s3_role","pending-reboot",
"aws_default_sagemaker_role",,,true,"engine-default","dynamic","string","Default IAM role ARN used for integration with AWS SageMaker","pending-reboot",
