"名前","値","許可された値","変更可能","送信元","適用タイプ","データ型","説明","ApplyMethod","MinimumEngineVersion"
"activate_all_roles_on_login","0","0,1",true,"engine-default","dynamic","boolean","Automatically set all granted roles as active after the user has authenticated successfully.","pending-reboot",
"allow-suspicious-udfs",,"0,1",false,"engine-default","static","boolean","Controls whether user-defined functions that have only an xxx symbol for the main function can be loaded","pending-reboot",
"aurora_parallel_query",,"0,1",true,"engine-default","dynamic","boolean","This parameter can be used to enable and disable Aurora Parallel Query.","pending-reboot",
"autocommit",,"0,1",true,"engine-default","dynamic","boolean","Sets the autocommit mode","pending-reboot",
"automatic_sp_privileges",,"0,1",true,"engine-default","dynamic","boolean","When this variable has a value of 1 (the default), the server automatically grants the EXECUTE and ALTER ROUTINE privileges to the creator of a stored routine, if the user cannot already execute and alter or drop the routine.","pending-reboot",
"back_log",,"1-65535",true,"engine-default","static","integer","The number of outstanding connection requests MySQL can have","pending-reboot",
"basedir","/rdsdbbin/oscar",,false,"system","static","string","The MySQL installation base directory.","pending-reboot",
"binlog_cache_size","32768","4096-18446744073709547520",true,"system","dynamic","integer","The size of the cache to hold the SQL statements for the binary log during a transaction.","pending-reboot",
"binlog_max_flush_queue_time",,"0-100000",true,"engine-default","dynamic","integer","How long in microseconds to keep reading transactions from the flush queue before proceeding with the group commit (and syncing the log to disk, if sync_binlog is greater than 0). If the value is 0 (the default), there is no timeout and the server keeps reading new transactions until the queue is empty.","pending-reboot",
"binlog_order_commits",,"0,1",true,"engine-default","dynamic","boolean","If this variable is enabled (the default), transactions are committed in the same order they are written to the binary log. If disabled, transactions may be committed in parallel.","pending-reboot",
"binlog_stmt_cache_size",,"4096-18446744073709547520",true,"engine-default","dynamic","integer","This variable determines the size of the cache for the binary log to hold nontransactional statements issued during a transaction.","pending-reboot",
"binlog_transaction_compression",,"ON,OFF",true,"engine-default","dynamic","string","Enables compression for transactions that are written to binary log files on this server","pending-reboot",
"binlog_transaction_compression_level_zstd",,"1-22",true,"engine-default","dynamic","integer","Sets the compression level for binary log transaction compression on this server, which is enabled by the binlog_transaction_compression system variable.","pending-reboot",
"bulk_insert_buffer_size",,"0-18446744073709547520",true,"engine-default","dynamic","integer","Limits the size of the MyISAM cache tree in bytes per thread.","pending-reboot",
