名前,種別,v1クラスタ,v1DB,v3クラスタ,v3DB,v1初期値,v1変更,v1ソース,v3初期値,v3変更,v3ソース,備考,,,,,,,,,,
activate_all_roles_on_login,追加,,,○,○,,,,0,TRUE,engine-default,,,,,,,,,,,
aurora_binlog_read_buffer_size,削除,○,,,,,TRUE,engine-default,,,,https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Reference.html#AuroraMySQL.Reference.Parameters.Cluster,,,,,,,,,,
aurora_binlog_use_large_read_buffer,削除,○,,,,,TRUE,engine-default,,,,https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Reference.html#AuroraMySQL.Reference.Parameters.Cluster,,,,,,,,,,
aurora_disable_hash_join,削除,○,○,,,,TRUE,engine-default,,,,https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/aurora-mysql-parallel-query.html#aurora-mysql-parallel-query-enabling-hash-join,,,,,,,,,,
aurora_enable_repl_bin_log_filtering,削除,○,,,,,TRUE,engine-default,,,,設定削除？ https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Replication.html,,,,,,,,,,
aurora_enable_replica_log_compression,削除,○,,,,,TRUE,engine-default,,,,設定削除？ https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Replication.html,,,,,,,,,,
aurora_enable_staggered_replica_restart,変更,○,,○,,,TRUE,engine-default,,TRUE,system,ソースが変わっただけ https://aws.amazon.com/jp/premiumsupport/knowledge-center/aurora-read-replica-restart/,,,,,,,,,,
aurora_enable_zdr,削除,○,,,,,TRUE,engine-default,,,,https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Replication.html#AuroraMySQL.Replication.Availability,,,,,,,,,,
aurora_fwd_writer_idle_timeout,追加,,,○,,,,,60,TRUE,system,,,,,,,,,,,
aurora_fwd_writer_max_connections_pct,追加,,,○,,,,,10,TRUE,system,,,,,,,,,,,
aurora_lab_mode,削除,○,○,,,0,TRUE,engine-default,,,,https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Reference.html#AuroraMySQL.Reference.Parameters.Cluster,,,,,,,,,,
aurora_load_from_s3_role,削除,○,,,,,TRUE,engine-default,,,,https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Reference.html#AuroraMySQL.Reference.Parameters.Cluster,,,,,,,,,,
aurora_max_alter_table_log_entries,削除,○,,,,,TRUE,engine-default,,,,,,,,,,,,,,
aurora_oom_response,削除,○,○,,,,TRUE,engine-default,,,,https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/CHAP_Troubleshooting.html#CHAP_Troubleshooting.AuroraMySQLOOM,,,,,,,,,,
aurora_parallel_query,変更,○,○,○,○,OFF,TRUE,system,,TRUE,engine-default,,,,,,,,,,,
aurora_pq,削除,○,○,,,1,TRUE,system,,,,aurora_parallel_queryへ,,,,,,,,,,
aurora_pq_supported,削除,○,○,,,1,FALSE,system,,,,,,,,,,,,,,
aurora_select_into_s3_role,削除,○,,,,,TRUE,engine-default,,,,https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Reference.html#AuroraMySQL.Reference.Parameters.Cluster,,,,,,,,,,
aws_default_comprehend_role,追加,,,○,,,,,,TRUE,engine-default,,,,,,,,,,,
aws_default_sagemaker_role,追加,,,○,,,,,,TRUE,engine-default,,,,,,,,,,,
binlog_error_action,追加,,,○,,,,,ABORT_SERVER,TRUE,engine-default,,,,,,,,,,,
binlog_group_commit_sync_delay,追加,,,○,,,,,0,TRUE,engine-default,,,,,,,,,,,
binlog_group_commit_sync_no_delay_count,追加,,,○,,,,,0,TRUE,engine-default,,,,,,,,,,,
binlog_row_metadata,追加,,,○,,,,,minimal,TRUE,engine-default,,,,,,,,,,,
binlog_row_value_options,追加,,,○,,,,,,TRUE,engine-default,,,,,,,,,,,
binlog_transaction_compression,追加,,,○,○,,,,OFF,TRUE,engine-default,,,,,,,,,,,
binlog_transaction_compression_level_zstd,追加,,,○,○,,,,3,TRUE,engine-default,,,,,,,,,,,
binlog_transaction_dependency_history_size,追加,,,○,,,,,25000,TRUE,engine-default,,,,,,,,,,,
binlog_transaction_dependency_tracking,追加,,,○,,,,,COMMIT_ORDER,TRUE,engine-default,,,,,,,,,,,
binlog-do-db,追加,,,○,,,,,,TRUE,engine-default,,,,,,,,,,,
binlog-ignore-db,追加,,,○,,,,,,TRUE,engine-default,,,,,,,,,,,
character_set_client,変更,○,,○,,utf8,TRUE,engine-default,utf8mb4,TRUE,engine-default,,,,,,,,,,,
character_set_connection,変更,○,,○,,utf8,TRUE,engine-default,utf8mb4,TRUE,engine-default,,,,,,,,,,,
character_set_database,変更,○,,○,,latin1,TRUE,engine-default,utf8mb4,TRUE,engine-default,,,,,,,,,,,
character_set_results,変更,○,,○,,utf8,TRUE,engine-default,utf8mb4,TRUE,engine-default,,,,,,,,,,,
character_set_server,変更,○,,○,,latin1,TRUE,engine-default,utf8mb4,TRUE,engine-default,,,,,,,,,,,
check_proxy_users,追加,,,○,,,,,0,TRUE,engine-default,,,,,,,,,,,
collation_server,変更,○,,○,,latin1_swedish_ci,TRUE,engine-default,utf8mb4_0900_ai_ci,TRUE,engine-default,,,,,,,,,,,
cte_max_recursion_depth,追加,,,○,○,,,,1000,TRUE,engine-default,,,,,,,,,,,
default_authentication_plugin,追加,,,○,○,,,,mysql_native_password,FALSE,engine-default,,,,,,,,,,,
default_password_lifetime,追加,,,○,,,,,0,TRUE,system,,,,,,,,,,,
enforce_gtid_consistency,変更,○,○,○,,0,FALSE,engine-default,0,TRUE,engine-default,変更可能に,,,,,,,,,,
eq_range_index_dive_limit,変更,○,○,○,○,10,TRUE,engine-default,200,TRUE,engine-default,,,,,,,,,,,
event_scheduler,変更,○,○,○,,OFF,TRUE,engine-default,ON,TRUE,engine-default,,,,,,,,,,,
generated_random_password_length,追加,,,○,,,,,20,TRUE,engine-default,,,,,,,,,,,
gtid_executed_compression_period,追加,,,○,,,,,0,TRUE,engine-default,,,,,,,,,,,
gtid_purged,追加,,,○,,,,,,FALSE,engine-default,,,,,,,,,,,
gtid-mode,変更,○,○,○,,OFF,FALSE,system,OFF_PERMISSIVE,TRUE,system,,,,,,,,,,,
histogram_generation_max_mem_size,追加,,,○,○,,,,20000000,TRUE,engine-default,,,,,,,,,,,
